{'file_path': 'projects/atlas/SUBPROJECT/james-project/backends-common/cassandra/src/test/java/org/apache/james/backends/cassandra/migration/CassandraMigrationServiceTest.java', 'test_name': 'getCurrentVersionShouldReturnCurrentVersion'}
{'file_path': 'projects/atlas/SUBPROJECT/james-project/event-bus/distributed/src/test/java/org/apache/james/events/LocalListenerRegistryTest.java', 'test_name': 'addListenerShouldReturnFirstListenerWhenNoPreviouslyRegisteredListeners'}
{'file_path': 'projects/atlas/SUBPROJECT/james-project/event-bus/distributed/src/test/java/org/apache/james/events/LocalListenerRegistryTest.java', 'test_name': 'addListenerShouldNotReturnFirstListenerWhenPreviouslyRegisteredListeners'}
{'file_path': 'projects/atlas/SUBPROJECT/james-project/event-bus/distributed/src/test/java/org/apache/james/events/LocalListenerRegistryTest.java', 'test_name': 'removeListenerShouldNotReturnLastListenerRemovedWhenSeveralListener'}
{'file_path': 'projects/atlas/SUBPROJECT/james-project/event-bus/distributed/src/test/java/org/apache/james/events/RabbitMQEventBusTest.java', 'test_name': 'dispatchShouldWorkAfterRestartForNewRegistration'}
{'file_path': 'projects/atlas/SUBPROJECT/james-project/event-bus/distributed/src/test/java/org/apache/james/events/RabbitMQEventBusTest.java', 'test_name': 'redeliverShouldWorkAfterRestartForOldRegistration'}
{'file_path': 'projects/atlas/SUBPROJECT/james-project/event-bus/distributed/src/test/java/org/apache/james/events/RabbitMQEventBusTest.java', 'test_name': 'redeliverShouldWorkAfterRestartForNewRegistration'}
{'file_path': 'projects/atlas/SUBPROJECT/james-project/event-bus/distributed/src/test/java/org/apache/james/events/RabbitMQEventBusTest.java', 'test_name': 'dispatchShouldWorkAfterRestartForOldKeyRegistration'}
{'file_path': 'projects/atlas/SUBPROJECT/james-project/event-bus/distributed/src/test/java/org/apache/james/events/RabbitMQEventBusTest.java', 'test_name': 'dispatchShouldPersistEventWhenDispatchingWithKeysGetError'}
{'file_path': 'projects/atlas/SUBPROJECT/james-project/mailbox/api/src/test/java/org/apache/james/mailbox/MailboxManagerTest.java', 'test_name': 'hasInboxShouldBeFalseWhenINBOXIsNotCreated'}
{'file_path': 'projects/atlas/SUBPROJECT/james-project/mailbox/api/src/test/java/org/apache/james/mailbox/MailboxManagerTest.java', 'test_name': 'creatingMixedCaseINBOXShouldCreateItAsINBOXUponChildMailboxCreation'}
{'file_path': 'projects/atlas/SUBPROJECT/james-project/mailbox/api/src/test/java/org/apache/james/mailbox/MailboxManagerTest.java', 'test_name': 'renamingMailboxByIdShouldNotThrowWhenNameWithoutEmptyHierarchicalLevel'}
{'file_path': 'projects/atlas/SUBPROJECT/james-project/mailbox/api/src/test/java/org/apache/james/mailbox/MailboxManagerTest.java', 'test_name': 'renamingMailboxShouldNotThrowWhenNameWithASingleToBeNormalizedTrailingDelimiter'}
{'file_path': 'projects/atlas/SUBPROJECT/james-project/mailbox/api/src/test/java/org/apache/james/mailbox/MailboxManagerTest.java', 'test_name': 'updateAnnotationsShouldUpdateStoredAnnotation'}
{'file_path': 'projects/atlas/SUBPROJECT/james-project/mailbox/api/src/test/java/org/apache/james/mailbox/MailboxManagerTest.java', 'test_name': 'user1ShouldNotHaveTestSubmailbox'}
{'file_path': 'projects/atlas/SUBPROJECT/james-project/mailbox/api/src/test/java/org/apache/james/mailbox/MailboxManagerTest.java', 'test_name': 'user1ShouldBeAbleToCreateTestSubmailbox'}
{'file_path': 'projects/atlas/SUBPROJECT/james-project/mailbox/api/src/test/java/org/apache/james/mailbox/MailboxManagerTest.java', 'test_name': 'user2ShouldBeAbleToCreateRootlessFolder'}
{'file_path': 'projects/atlas/SUBPROJECT/james-project/mailbox/api/src/test/java/org/apache/james/mailbox/MailboxManagerTest.java', 'test_name': 'user2ShouldBeAbleToCreateNestedFoldersWithoutTheirParents'}
{'file_path': 'projects/atlas/SUBPROJECT/james-project/mailbox/backup/src/test/java/org/apache/james/mailbox/backup/FlagExtraFieldTest.java', 'test_name': 'parseFromLocalFileDataShouldParseByteData'}
{'file_path': 'projects/atlas/SUBPROJECT/james-project/mailbox/cassandra/src/test/java/org/apache/james/mailbox/cassandra/mail/CassandraACLMapperContract.java', 'test_name': 'retrieveACLWhenNoACLStoredShouldReturnEmptyACL'}
{'file_path': 'projects/atlas/SUBPROJECT/james-project/mailbox/lucene/src/test/java/org/apache/james/mailbox/lucene/search/LuceneMailboxMessageSearchIndexTest.java', 'test_name': 'searchBodyInSpecificMailboxesShouldMatch'}
{'file_path': 'projects/atlas/SUBPROJECT/james-project/mailbox/lucene/src/test/java/org/apache/james/mailbox/lucene/search/LuceneMailboxMessageSearchIndexTest.java', 'test_name': 'searchAllShouldMatchAllUserEmails'}
