{'file_path': 'projects/toga/SUBPROJECT/openmrs-core/api/src/test/java/org/openmrs/BaseOpenmrsObjectTest.java', 'test_name': 'equals_shouldReturnfalseIfHibernateProxyOfOneThingIsComparedtoHibernateProxyofSomething'}
{'file_path': 'projects/toga/SUBPROJECT/openmrs-core/api/src/test/java/org/openmrs/CohortMembershipTest.java', 'test_name': 'isActive_shouldReturnFalseIfStartDateIsAfterAsOfDate'}
{'file_path': 'projects/toga/SUBPROJECT/openmrs-core/api/src/test/java/org/openmrs/CohortMembershipTest.java', 'test_name': 'isActive_shouldBeInactiveAsOfDateForVoidedMembership'}
{'file_path': 'projects/toga/SUBPROJECT/openmrs-core/api/src/test/java/org/openmrs/ConceptReferenceTermTest.java', 'test_name': 'addConceptReferenceTermMap_shouldSetTermAAsTheTermToWhichAMappingIsBeingAdded'}
{'file_path': 'projects/toga/SUBPROJECT/openmrs-core/api/src/test/java/org/openmrs/ConceptTest.java', 'test_name': 'getCompatibleNames_shouldExcludeIncompatibleCountryLocales'}
{'file_path': 'projects/toga/SUBPROJECT/openmrs-core/api/src/test/java/org/openmrs/ConceptTest.java', 'test_name': 'getBestNameLocale_shouldReturnNull'}
{'file_path': 'projects/toga/SUBPROJECT/openmrs-core/api/src/test/java/org/openmrs/ConceptTest.java', 'test_name': 'addSetMember_shouldInsertTheConceptBeforeTheFirstWithZeroIndex'}
{'file_path': 'projects/toga/SUBPROJECT/openmrs-core/api/src/test/java/org/openmrs/EncounterTest.java', 'test_name': 'getObs_shouldNotGetVoidedObs'}
{'file_path': 'projects/toga/SUBPROJECT/openmrs-core/api/src/test/java/org/openmrs/EncounterTest.java', 'test_name': 'getObs_shouldGetBothChildAndParentObsAfterRemovingChildFromParentGrouping'}
{'file_path': 'projects/toga/SUBPROJECT/openmrs-core/api/src/test/java/org/openmrs/EncounterTest.java', 'test_name': 'addObs_shouldSetEncounterAttributeOnObs'}
{'file_path': 'projects/toga/SUBPROJECT/openmrs-core/api/src/test/java/org/openmrs/EncounterTest.java', 'test_name': 'addOrder_shouldSetEncounterAttribute'}
{'file_path': 'projects/toga/SUBPROJECT/openmrs-core/api/src/test/java/org/openmrs/EncounterTest.java', 'test_name': 'addCondition_shouldSetEncounterAttribute'}
{'file_path': 'projects/toga/SUBPROJECT/openmrs-core/api/src/test/java/org/openmrs/EncounterTest.java', 'test_name': 'addProvider_shouldAddProviderForNewRole'}
{'file_path': 'projects/toga/SUBPROJECT/openmrs-core/api/src/test/java/org/openmrs/EncounterTest.java', 'test_name': 'hasDiagnosis_shouldReturnFalseIfEncounterDoesNotHaveDiagnosis'}
{'file_path': 'projects/toga/SUBPROJECT/openmrs-core/api/src/test/java/org/openmrs/ObsBehaviorTest.java', 'test_name': 'shouldHaveAnObsLoadedFromTheDatabaseAsNotDirty'}
{'file_path': 'projects/toga/SUBPROJECT/openmrs-core/api/src/test/java/org/openmrs/ObsTest.java', 'test_name': 'getValueAsBoolean_shouldReturnFalseForValue_numericConceptsIfValueIs0'}
{'file_path': 'projects/toga/SUBPROJECT/openmrs-core/api/src/test/java/org/openmrs/OrderTest.java', 'test_name': 'isActive_shouldReturnTrueIfAnOrderWasDiscontinuedOnTheCheckDate'}
{'file_path': 'projects/toga/SUBPROJECT/openmrs-core/api/src/test/java/org/openmrs/OrderTypeTest.java', 'test_name': 'addConceptClass_shouldAddTheSpecifiedConceptClass'}
{'file_path': 'projects/toga/SUBPROJECT/openmrs-core/api/src/test/java/org/openmrs/PatientStateTest.java', 'test_name': 'getActive_shouldReturnFalseIfVoidedAndDateInRange'}
{'file_path': 'projects/toga/SUBPROJECT/openmrs-core/api/src/test/java/org/openmrs/PatientStateTest.java', 'test_name': 'compareTo_shouldReturnPositiveIfStartDatesEqualAndThisEndDateNull'}
{'file_path': 'projects/toga/SUBPROJECT/openmrs-core/api/src/test/java/org/openmrs/PatientStateTest.java', 'test_name': 'compareTo_shouldReturnNegativeIfThisStartDateNull'}
{'file_path': 'projects/toga/SUBPROJECT/openmrs-core/api/src/test/java/org/openmrs/PatientStateTest.java', 'test_name': 'compareTo_shouldReturnPositiveOrNegativeIfTwoStatesHaveTheSameStartDatesEndDatesAndUuids'}
{'file_path': 'projects/toga/SUBPROJECT/openmrs-core/api/src/test/java/org/openmrs/PersonAttributeTest.java', 'test_name': 'voidAttribute_shouldSetVoidedBitToTrue'}
